word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,VERB
fury,0,0,0,0,0,1,0,0
overturn,0,0,0,0,0,0,0,1
chair,0,0,0,0,0,4,0,0
grab,0,0,0,0,0,0,0,9
throat,0,0,0,0,0,2,0,0
heavy,5,0,0,0,0,0,0,0
blow,0,0,0,0,0,1,0,0
ground,0,0,0,0,0,5,0,0
quiet,2,0,0,0,0,0,0,0
meek,1,0,0,0,0,0,0,0
dejected,1,0,0,0,0,0,0,0
creature,0,0,0,0,0,1,0,0
spirit,0,0,0,0,0,2,0,0
rouse,0,0,0,0,0,0,0,1
blood,0,0,0,0,0,2,0,0
murder,0,0,0,0,0,2,0,6
scream,0,0,0,0,0,0,0,13
mad,3,0,0,0,0,0,0,0
rush,0,0,0,0,0,0,0,12
little,5,0,0,0,0,0,0,0
wretch,0,0,0,0,0,1,0,0
ungrateful,1,0,0,0,0,0,0,0
murderous,1,0,0,0,0,0,0,0
able,1,0,0,0,0,0,0,0
regain,0,0,0,0,0,0,0,2
footing,0,0,0,0,0,1,0,0
subdue,0,0,0,0,0,0,0,1
drag,0,0,0,0,0,0,0,2
kick,0,0,0,0,0,1,0,7
closet,0,0,0,0,0,1,0,0
lock,0,0,0,0,0,1,0,2
hope,0,0,0,0,0,2,0,6
handle,0,0,0,0,0,0,0,1
beast,0,0,0,0,0,1,0,0
bother,0,0,0,0,0,0,0,1
hat,0,0,0,0,0,4,0,0
reach,0,0,0,0,0,0,0,7
terribly,0,0,1,0,0,0,0,0
vicious,2,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,12
continue,0,0,0,0,0,0,0,6
exaggerate,0,0,0,0,0,0,0,1
extent,0,0,0,0,0,1,0,0
happen,0,0,0,0,0,0,0,7
swift,1,0,0,0,0,0,0,0
yes,0,0,0,0,5,0,0,0
voice,0,0,0,0,0,6,0,0
tremble,0,0,0,0,0,0,0,1
shout,0,0,0,0,0,1,0,8
step,0,0,0,0,0,4,0,5
straighten,0,0,0,0,0,0,0,1
expect,0,0,0,0,0,0,0,2
right,2,0,9,0,0,1,0,0
speak,0,0,0,0,0,0,0,9
madness,0,0,0,0,0,1,0,0
meat,0,0,0,0,0,1,0,0
scowl,0,0,0,0,0,1,0,1
overfe,0,0,0,0,0,0,0,1
ashamed,2,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,24
news,0,0,0,0,0,7,0,0
pull,0,0,0,0,0,0,0,9
nice,2,0,0,0,0,0,0,0
fellow,0,0,0,0,0,1,0,0
threaten,0,0,0,0,0,0,0,3
rage,0,0,0,0,0,3,0,1
deserve,0,0,0,0,0,0,0,1
punish,0,0,0,0,0,0,0,1
instant,0,0,0,0,0,1,0,0
price,0,0,0,0,0,2,0,0
beating,0,0,0,0,0,3,0,0
satisfy,0,0,0,0,0,0,0,1
drab,1,0,0,0,0,0,0,0
silently,0,0,2,0,0,0,0,0
rise,0,0,0,0,0,0,0,1
vastness,0,0,0,0,0,1,0,0
cold,4,0,0,0,0,0,0,0
world,0,0,0,0,0,9,0,0
star,0,0,0,0,0,1,0,0
far,0,0,9,0,0,0,0,0
softly,0,0,1,0,0,0,0,0
gather,0,0,0,0,0,0,0,5
belonging,0,0,0,0,0,1,0,0
tie,0,0,0,0,0,0,0,2
handkerchief,0,0,0,0,0,4,0,0
bench,0,0,0,0,0,1,0,0
wait,0,0,0,0,0,0,0,14
light,0,0,0,0,0,2,0,0
early,0,0,1,0,0,0,0,0
hush,1,0,0,0,0,0,0,3
stop,0,0,0,0,0,0,0,5
poorly,0,0,1,0,0,0,0,0
seek,0,0,0,0,0,0,0,1
fortune,0,0,0,0,0,1,0,0
touch,0,0,0,0,0,0,0,1
cheek,0,0,0,0,0,4,0,0
alright,1,0,0,0,0,0,0,0
safe,5,0,0,0,0,0,0,0
kiss,0,0,0,0,0,0,0,5
blessing,0,0,0,0,0,2,0,0
struggle,0,0,0,0,0,2,0,2
trouble,0,0,0,0,0,3,0,1
live,0,0,0,0,0,0,0,18
perfect,2,0,0,0,0,0,0,0
homeless,1,0,0,0,0,0,0,0
travel,0,0,0,0,0,0,0,9
crumb,0,0,0,0,0,1,0,0
pair,0,0,0,0,0,2,0,0
bundle,0,0,0,0,0,1,0,0
water,0,0,0,0,0,5,0,1
cottage,0,0,0,0,0,1,0,0
meadow,0,0,0,0,0,1,0,0
haystack,0,0,0,0,0,1,0,0
tired,4,0,0,0,0,0,0,0
journey,0,0,0,0,0,1,0,0
beggar,0,0,0,0,0,1,0,0
jail,0,0,0,0,0,8,0,0
great,3,0,0,0,0,0,0,0
fast,1,0,3,0,0,0,0,0
luck,0,0,0,0,0,4,0,0
cheese,0,0,0,0,0,2,0,0
sympathy,0,0,0,0,0,2,0,0
son,0,0,0,0,0,2,0,0
wonder,0,0,0,0,0,0,0,4
seventh,1,0,0,0,0,0,0,0
tiny,2,0,0,0,0,0,0,0
strangest,0,0,1,0,0,0,0,0
age,0,0,0,0,0,2,0,0
manner,0,0,0,0,0,1,0,0
air,0,0,0,0,0,3,0,0
coat,0,0,0,0,0,3,0,0
heel,0,0,0,0,0,1,0,0
trouser,0,0,0,0,0,1,0,0
hello,0,0,0,0,2,0,0,0
seven,0,0,0,0,0,0,2,0
grub,0,0,0,0,0,2,0,0
nearby,1,0,0,0,0,0,0,0
shop,0,0,0,0,0,2,0,1
feast,0,0,0,0,0,2,0,1
ham,0,0,0,0,0,1,0,0
strange,7,0,0,0,0,0,0,0
lodging,0,0,0,0,0,1,0,0
whistle,0,0,0,0,0,0,0,1
pocket,0,0,0,0,0,5,0,0
big,1,0,0,0,0,0,0,0
sleeve,0,0,0,0,0,1,0,0
tonight,0,0,0,0,0,5,0,0
free,7,0,0,0,0,0,0,0
resist,0,0,0,0,0,0,0,1
refer,0,0,0,0,0,0,0,1
approach,0,0,0,0,0,0,0,4
stench,0,0,0,0,0,1,0,0
invade,0,0,0,0,0,0,0,1
dirty,2,0,0,0,0,0,0,0
wretched,2,0,0,0,0,0,0,0
lay,0,0,0,0,0,0,0,1
split,1,0,0,0,0,0,0,1
faraway,1,0,0,0,0,0,0,0
plummy,1,0,0,0,0,0,0,0
slam,0,0,0,0,0,0,0,2
secret,1,0,0,0,0,4,0,0
password,0,0,0,0,0,2,0,0
correct,1,0,0,0,0,0,0,0
peep,0,0,0,0,0,0,0,1
passage,0,0,0,0,0,1,0,0
pal,0,0,0,0,0,1,0,0
upstairs,0,0,4,0,0,0,0,0
stairway,0,0,0,0,0,1,0,0
ease,0,0,0,0,0,1,0,0
rickety,2,0,0,0,0,0,0,0
throw,0,0,0,0,0,0,0,8
ceiling,0,0,0,0,0,1,0,0
black,1,0,0,0,0,0,0,0
dirt,0,0,0,0,0,2,0,0
candle,0,0,0,0,0,1,0,0
sausage,0,0,0,0,0,3,0,0
frying,0,0,0,0,0,1,0,0
pan,0,0,0,0,0,1,0,0
fork,0,0,0,0,0,1,0,0
grin,0,0,0,0,0,0,0,1
scurry,0,0,0,0,0,0,0,1
