word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
stand,0,0,0,0,0,0,0,0,0,3,0
forget,0,0,0,0,0,0,0,0,0,4,0
detective,0,0,0,0,0,0,1,0,0,0,0
round,0,2,1,0,0,0,0,0,0,0,0
help,0,0,0,0,0,0,0,0,0,4,0
inspector,0,0,0,0,0,0,3,0,0,0,0
shall,0,0,0,3,0,0,0,0,0,0,0
afternoon,0,0,0,0,0,0,2,0,0,0,0
usual,1,0,0,0,0,0,0,0,0,0,0
kind,1,0,0,0,0,0,5,0,0,0,0
surprising,1,0,0,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,0,2,0,0,0,0
office,0,0,0,0,0,0,2,0,0,0,0
daily,1,0,0,0,0,0,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,10,0
peculiar,10,0,0,0,0,0,0,0,0,0,0
puzzle,0,0,0,0,0,0,0,0,0,2,0
motive,0,0,0,0,0,0,6,0,0,0,0
brutal,3,0,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,3,0,0,0,0
make,0,0,0,0,0,0,0,0,0,1,0
mistake,0,0,0,0,0,0,1,0,0,0,0
unusual,7,0,0,0,0,0,0,0,0,0,0
wrong,2,0,0,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,6,0
wait,0,0,0,0,0,0,0,0,0,3,0
probably,0,0,4,0,0,0,0,0,0,0,0
hope,0,0,0,0,0,0,0,0,0,2,0
necessary,1,0,0,0,0,0,0,0,0,0,0
gun,0,0,0,0,0,0,5,0,0,0,0
use,0,0,0,0,0,0,0,0,0,3,0
let,0,0,0,0,0,0,0,0,0,8,0
report,0,0,0,0,0,0,1,0,0,0,0
different,1,0,0,0,0,0,0,0,0,0,0
disagree,0,0,0,0,0,0,0,0,0,1,0
list,0,0,0,0,0,0,1,0,0,0,0
show,0,0,0,0,0,0,0,0,0,3,0
paper,0,0,0,0,0,0,4,0,0,0,0
strangely,0,0,2,0,0,0,0,0,0,0,0
speaker,0,0,0,0,0,0,1,0,0,0,0
european,1,0,0,0,0,0,0,0,0,0,0
african,1,0,0,0,0,0,0,0,0,0,0
asian,1,0,0,0,0,0,0,0,0,0,0
possible,9,0,0,0,0,0,0,0,0,0,0
later,0,0,3,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,6,0
passage,0,0,0,0,0,0,1,0,0,0,0
secret,2,0,0,0,0,0,0,0,0,0,0
centimetre,0,0,0,0,0,0,2,0,0,0,0
ceiling,0,0,0,0,0,0,1,0,0,0,0
wide,2,0,0,0,0,0,0,0,0,0,0
metre,0,0,0,0,0,0,4,0,0,0,0
higher,0,0,1,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,0,1,0,0,0,0
climb,0,0,0,0,0,0,0,0,0,3,0
left,1,0,0,0,0,0,2,0,0,0,0
nail,0,0,0,0,0,0,15,0,0,0,0
outside,0,0,0,0,0,0,2,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,8,0
press,0,0,0,0,0,0,0,0,0,2,0
arid,1,0,0,0,0,0,0,0,0,0,0
drop,0,0,0,0,0,0,0,0,0,2,0
touch,0,0,0,0,0,0,0,0,0,1,0
rest,0,0,0,0,0,0,1,0,0,0,0
real,2,0,0,0,0,0,0,0,0,0,0
throught,0,1,0,0,0,0,0,0,0,0,0
lightning,0,0,0,0,0,0,8,0,0,0,0
rod,0,0,0,0,0,0,8,0,0,0,0
latticed,4,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,16,0,0,0,0
hold,0,0,0,0,0,0,4,0,0,1,0
picture,0,0,0,0,0,0,7,0,0,0,0
away,0,1,3,0,0,0,0,0,0,0,0
agile,8,0,0,0,0,0,0,0,0,0,0
swing,0,0,0,0,0,0,0,0,0,4,0
somebody,0,0,0,0,0,0,0,0,1,0,0
feel,0,0,0,0,0,0,0,0,0,4,0
excited,1,0,0,0,0,0,0,0,0,0,0
thief,0,0,0,0,0,0,3,0,0,0,0
stupid,1,0,0,0,0,0,0,0,0,0,0
unusually,0,0,3,0,0,0,0,0,0,0,0
criminal,0,0,0,0,0,0,1,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,4,0
handful,0,0,0,0,0,0,2,0,0,0,0
need,0,0,0,0,0,0,2,0,0,2,0
finish,0,0,0,0,0,0,0,0,0,2,0
place,0,0,0,0,0,0,3,0,0,0,0
ill,1,0,0,0,0,0,0,0,0,0,0
madman,0,0,0,0,0,0,4,0,0,0,0
hospital,0,0,0,0,0,0,1,0,0,0,0
pocket,0,0,0,0,0,0,4,0,0,0,0
short,2,0,0,0,0,0,0,0,0,0,0
orangey,2,0,0,0,0,0,0,0,0,0,0
brown,2,0,0,0,0,0,0,0,0,0,0
human,2,0,0,0,0,0,0,0,0,0,0
drawing,0,0,0,0,0,0,3,0,0,0,0
