word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,VERB
belong,0,0,0,0,0,0,0,1
linkage,0,0,0,0,2,0,0,0
system,0,0,0,0,27,0,0,0
transmit,0,0,0,0,0,0,0,1
energy,0,0,0,0,15,0,0,0
endure,0,0,0,0,0,0,0,1
search,0,0,0,0,0,0,0,1
well,6,0,3,0,1,0,0,0
possibility,0,0,0,0,2,0,0,0
increase,0,0,0,0,0,0,0,2
gaslight,0,0,0,0,1,0,0,0
home,0,0,0,0,1,0,0,0
late,2,0,0,0,0,0,0,0
burning,0,0,0,0,1,0,0,0
explosion,0,0,0,0,4,0,0,0
sprinkle,0,0,0,0,0,0,0,1
petroleum,0,0,0,0,6,0,0,0
spirit,0,0,0,0,2,0,0,0
liquid,1,0,0,0,0,0,0,0
oil,0,0,0,0,18,0,0,0
evaporate,0,0,0,0,0,0,0,2
warm,1,0,0,0,0,0,0,1
expand,0,0,0,0,0,0,0,1
mix,0,0,0,0,0,0,0,7
flame,0,0,0,0,2,0,0,0
suck,0,0,0,0,1,0,0,4
ignite,0,0,0,0,0,0,0,6
mixture,0,0,0,0,5,0,0,0
sketch,0,0,0,0,0,0,0,1
hydrogen,0,0,0,0,7,0,0,0
date,0,0,0,0,10,0,0,1
birth,0,0,0,0,10,0,0,0
place,0,0,0,0,6,0,0,1
great,8,0,0,0,0,0,0,0
achievement,0,0,0,0,5,0,0,0
practical,2,0,0,0,0,0,0,0
sell,0,0,0,0,0,0,0,15
interesting,5,0,0,0,0,0,0,0
motorboat,0,0,0,0,1,0,0,0
brake,0,0,0,0,15,0,0,1
death,0,0,0,0,6,0,0,0
promise,0,0,0,0,0,0,0,1
experiment,0,0,0,0,3,0,0,2
basic,2,0,0,0,0,0,0,0
sketchy,1,0,0,0,0,0,0,0
drawing,0,0,0,0,1,0,0,0
seed,0,0,0,0,1,0,0,0
see,0,0,0,0,0,0,0,2
hear,0,0,0,0,0,0,0,2
swiss,1,0,0,0,0,0,0,0
oxygen,0,0,0,0,4,0,0,0
trolley,0,0,0,0,1,0,0,0
stroke,0,0,0,0,27,0,0,0
mean,0,0,0,0,0,0,0,5
upstroke,0,0,0,0,2,0,0,0
downstroke,0,0,0,0,1,0,0,0
illustration,0,0,0,0,1,0,0,0
spark,0,0,0,0,13,0,0,0
induction,0,0,0,0,3,0,0,0
coil,0,0,0,0,3,0,0,0
