word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,VERB,X
elbow,0,0,0,0,0,0,1,0,0,0,0,0
silver,2,0,0,0,0,0,1,0,0,0,0,0
bevo,0,0,0,0,0,0,1,0,0,0,0,0
ginger,0,0,0,0,0,0,1,0,0,0,0,0
ale,0,0,0,0,0,0,1,0,0,0,0,0
town,0,0,0,0,0,0,8,0,0,0,0,0
summit,0,0,0,0,0,0,1,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,28,0
friend,0,0,0,0,0,0,9,0,0,0,0,0
sure,5,0,8,0,0,2,0,0,0,0,0,0
boy,0,0,0,0,0,1,64,0,0,0,0,0
dumb,1,0,0,0,0,0,0,0,0,0,0,0
platter,0,0,0,0,0,0,1,0,0,0,0,0
set,0,0,0,0,0,0,1,0,0,0,3,0
dish,0,0,0,0,0,0,8,0,0,0,0,0
fry,0,0,0,0,0,0,0,0,0,0,1,0
wicket,0,0,0,0,0,0,2,0,0,0,0,0
kitchen,0,0,0,0,0,0,28,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,13,0
laugh,0,0,0,0,0,0,1,0,0,0,8,0
thinker,0,0,0,0,0,0,1,0,0,0,0,0
hey,0,0,0,0,0,4,0,0,0,0,0,0
idea,0,0,0,0,0,0,7,0,0,0,0,0
damn,7,0,5,0,0,0,0,0,0,0,2,0
business,0,0,0,0,0,0,7,0,0,0,0,0
nigger,0,0,0,0,0,0,12,0,0,0,0,0
cook,0,0,0,0,0,0,15,0,0,0,4,0
silly,5,0,1,0,0,0,0,0,0,0,0,0
argue,0,0,0,0,0,0,0,0,0,0,1,0
kid,0,0,0,0,0,0,1,0,0,0,0,0
use,0,0,0,0,0,0,1,0,0,0,2,0
slit,0,0,0,0,0,0,2,0,0,0,0,0
apron,0,0,0,0,0,0,9,0,0,0,0,0
sir,0,0,0,0,0,0,1,0,0,0,0,0
stool,0,0,0,0,0,0,2,0,0,0,0,0
shut,0,0,0,0,0,0,0,0,0,0,10,0
opposite,1,2,0,0,0,0,0,0,0,0,0,0
mirror,0,0,0,0,0,0,9,0,0,0,0,0
saloon,0,0,0,0,0,0,1,0,0,0,0,0
voice,0,0,0,0,0,0,9,0,0,0,0,0
prop,0,0,0,0,0,0,0,0,0,0,2,0
pass,0,0,0,0,0,0,6,0,0,0,12,0
catsup,0,0,0,0,0,0,1,0,0,0,0,0
left,5,0,0,0,0,0,1,0,0,0,0,0
photographer,0,0,0,0,0,0,1,0,0,0,0,0
arrange,0,0,0,0,0,0,0,0,0,0,1,0
group,0,0,0,0,0,0,1,0,0,0,0,0
picture,0,0,0,0,0,0,5,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,15,0
name,0,0,0,0,0,0,0,0,0,0,2,0
movie,0,0,0,0,0,0,3,0,0,0,0,0
ought,0,0,0,8,0,0,0,0,0,0,0,0
chance,0,0,0,0,0,0,12,0,0,0,1,0
oblige,0,0,0,0,0,0,0,0,0,0,1,0
goddam,0,0,1,0,0,0,0,0,0,0,0,0
got,0,0,0,0,0,0,0,0,0,0,2,0
amused,1,0,0,0,0,0,0,0,0,0,0,0
tie,0,0,0,0,0,0,0,0,0,0,4,0
couple,0,0,0,0,0,0,2,0,0,0,0,0
convent,0,0,0,0,0,0,3,0,0,0,0,0
suppose,0,0,0,0,0,0,0,0,0,0,11,0
kosher,1,0,0,0,0,0,0,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,0,0,1,0
quarter,0,0,0,0,0,0,2,0,0,0,0,0
car,0,0,0,0,0,0,54,0,0,0,0,0
motorman,0,0,0,0,0,0,2,0,0,0,0,0
hello,0,0,0,0,0,2,0,0,0,0,0,0
supper,0,0,0,0,0,0,2,0,0,0,0,0
regular,1,0,0,0,0,0,0,0,0,0,0,0
gentleman,0,0,0,0,0,0,4,0,0,0,0,0
muzzle,0,0,0,0,0,0,5,0,0,0,0,0
saw,0,0,0,0,0,0,0,0,0,0,1,0
shotgun,0,0,0,0,0,0,4,0,0,0,0,0
ledge,0,0,0,0,0,0,1,0,0,0,0,0
corner,0,0,0,0,0,0,10,0,0,0,0,0
mouth,0,0,0,0,0,0,12,0,0,0,1,0
wrap,0,0,0,0,0,0,0,0,0,0,2,0
oiled,1,0,0,0,0,0,0,0,0,0,0,0
paper,0,0,0,0,0,0,2,0,0,0,0,0
mark,0,0,0,0,0,0,0,0,0,0,4,0
seven,0,0,0,0,0,0,0,3,0,0,0,0
sick,9,0,0,0,0,0,0,0,0,0,0,0
sloppy,1,0,0,0,0,0,0,0,0,0,0,0
cutoff,0,0,0,0,0,0,1,0,0,0,0,0
barrel,0,0,0,0,0,0,2,0,0,0,0,0
slight,3,0,0,0,0,0,0,0,0,0,0,0
bulge,0,0,0,0,0,0,1,0,0,0,0,0
waist,0,0,0,0,0,0,2,0,0,0,0,0
fit,1,0,0,0,0,0,0,0,0,0,1,0
straighten,0,0,0,0,0,0,0,0,0,0,2,0
coat,0,0,0,0,0,0,3,0,0,0,1,0
gloved,1,0,0,0,0,0,0,0,0,0,0,0
luck,0,0,0,0,0,0,2,0,0,0,0,0
truth,0,0,0,0,0,0,2,0,0,0,0,0
play,0,0,0,0,0,0,0,0,0,0,4,0
race,0,0,0,0,0,0,1,0,0,0,0,0
arc,0,0,0,0,0,0,5,0,0,0,0,0
cross,0,0,0,0,0,0,0,0,0,0,6,0
vaudeville,0,0,0,0,0,0,1,0,0,0,0,0
team,0,0,0,0,0,0,1,0,0,0,0,0
swinge,0,0,0,0,0,0,0,0,0,0,2,0
untie,0,0,0,0,0,0,0,0,0,0,1,0
swagger,0,0,0,0,0,0,0,0,0,0,2,0
shoot,0,0,0,0,0,0,0,0,0,0,37,0
thumb,0,0,0,0,0,0,2,0,0,0,0,0
yeah,0,0,0,0,0,2,0,0,0,0,0,0
mix,0,0,0,0,0,0,0,0,0,0,5,0
rooming,0,0,0,0,0,0,2,0,0,0,0,0
house,0,0,0,0,0,0,9,0,0,0,0,0
bare,5,0,0,0,0,0,0,0,0,0,0,0
branch,0,0,0,0,0,0,1,0,0,0,0,0
step,0,0,0,0,0,0,3,0,0,0,4,0
push,0,0,0,0,0,0,0,0,0,0,5,0
bell,0,0,0,0,0,0,1,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,0,5,0
flight,0,0,0,0,0,0,1,0,0,0,0,0
stair,0,0,0,0,0,0,4,0,0,0,0,0
