word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
perfect,0,0,0,0,0,0,0,0,1,0
succeed,0,0,0,0,0,0,0,0,3,0
mercury,0,0,0,0,0,5,0,0,0,0
provide,0,0,0,0,0,0,0,0,9,0
bring,0,0,0,0,0,0,0,0,5,0
fall,0,0,0,0,0,1,0,0,2,0
build,0,0,0,0,0,0,0,0,3,0
construct,0,0,0,0,0,0,0,0,3,0
telescope,0,0,0,0,0,1,0,0,0,0
base,0,0,0,0,0,1,0,0,8,0
satellite,0,0,0,0,0,5,0,0,0,0
orbit,0,0,0,0,0,1,0,0,1,0
view,0,0,0,0,0,3,0,0,1,0
surface,0,0,0,0,0,10,0,0,0,0
moon,0,0,0,0,0,1,0,0,0,0
examine,0,0,0,0,0,0,0,0,2,0
vast,1,0,0,0,0,0,0,0,0,0
collection,0,0,0,0,0,4,0,0,0,0
star,0,0,0,0,0,4,0,0,0,0
run,0,0,0,0,0,0,0,0,1,0
afoul,0,0,1,0,0,0,0,0,0,0
support,0,0,0,0,0,1,0,0,7,0
publish,0,0,0,0,0,0,0,0,19,0
planetary,2,0,0,0,0,0,0,0,0,0
motion,0,0,0,0,0,5,0,0,0,0
copernican,3,0,0,0,0,0,0,0,0,0
rotate,0,0,0,0,0,0,0,0,1,0
axis,0,0,0,0,0,3,0,0,0,0
planet,0,0,0,0,0,2,0,0,0,0
revolve,0,0,0,0,0,0,0,0,1,0
church,0,0,0,0,0,2,0,0,0,0
despite,0,0,0,0,0,0,0,1,0,0
receive,0,0,0,0,0,0,0,0,15,0
formal,1,0,0,0,0,0,0,0,0,0
warning,0,0,0,0,0,3,0,0,0,0
continue,0,0,0,0,0,0,0,0,10,0
famously,0,0,1,0,0,0,0,0,0,0
dialogue,0,0,0,0,0,1,0,0,0,0
title,0,0,0,0,0,1,0,0,1,0
live,0,0,0,0,0,0,0,0,1,0
house,0,0,0,0,0,3,0,0,0,0
arrest,0,0,0,0,0,1,0,0,0,0
belief,0,0,0,0,0,1,0,0,0,0
doctrine,0,0,0,0,0,1,0,0,0,0
blind,0,0,0,0,0,0,0,0,1,0
death,0,0,0,0,0,3,0,0,0,0
buccaneer,0,0,0,0,0,1,0,0,0,0
pirate,0,0,0,0,0,1,0,0,0,0
explore,0,0,0,0,0,0,0,0,4,0
western,2,0,0,0,0,0,0,0,0,0
visit,0,0,0,0,0,1,0,0,5,0
