word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
theorist,0,0,0,0,0,0,0,12,0,0,0,0,0,0
importantly,0,0,3,0,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,0,13,0
result,0,0,0,0,0,0,0,8,0,0,0,0,13,0
agreement,0,0,0,0,0,0,0,8,0,0,0,0,0,0
version,0,0,0,0,0,0,0,10,0,0,0,0,0,0
group,0,0,0,0,0,0,0,11,0,0,0,0,1,0
subject,15,0,0,0,0,0,0,36,0,0,0,0,0,0
law,0,0,0,0,0,0,0,81,0,0,0,0,0,0
equality,0,0,0,0,0,0,0,10,0,0,0,0,0,0
liberty,0,0,0,0,0,0,0,34,0,0,0,0,0,0
property,0,0,0,0,0,0,0,33,0,0,0,0,0,0
create,0,0,0,0,0,0,0,0,0,0,0,0,27,0
protect,0,0,0,0,0,0,0,0,0,0,0,0,7,0
function,0,0,0,0,0,0,0,9,0,0,0,0,1,0
sole,4,0,0,0,0,0,0,0,0,0,0,0,0,0
existence,0,0,0,0,0,0,0,35,0,0,0,0,0,0
citizen,0,0,0,0,0,0,0,18,0,0,0,0,0,0
revolution,0,0,0,0,0,0,0,17,0,0,0,0,0,0
fail,0,0,0,0,0,0,0,0,0,0,0,0,10,0
view,0,0,0,0,0,0,0,55,0,0,0,0,9,0
liberalism,0,0,0,0,0,0,0,10,0,0,0,0,0,0
embody,0,0,0,0,0,0,0,0,0,0,0,0,4,0
differ,0,0,0,0,0,0,0,0,0,0,0,0,7,0
hold,0,0,0,0,0,0,0,1,0,0,0,0,39,0
people,0,0,0,0,0,0,0,75,0,0,0,0,0,0
happy,5,0,0,0,0,0,0,0,0,0,0,0,0,0
gradual,2,0,0,0,0,0,0,0,0,0,0,0,0,0
development,0,0,0,0,0,0,0,31,0,0,0,0,0,0
private,11,0,0,0,0,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,0,0,34,0
inequality,0,0,0,0,0,0,0,11,0,0,0,0,0,0
envy,0,0,0,0,0,0,0,2,0,0,0,0,0,0
strife,0,0,0,0,0,0,0,3,0,0,0,0,0,0
accordingly,0,0,3,0,0,0,0,0,0,0,0,0,0,0
essentially,0,0,7,0,0,0,0,0,0,0,0,0,0,0
false,12,0,0,0,0,0,0,0,0,0,0,0,0,0
rich,7,0,0,0,0,0,0,0,0,0,0,0,0,0
privilege,0,0,0,0,0,0,0,1,0,0,0,0,0,0
true,38,0,0,0,0,0,0,0,0,0,0,0,0,0
enforce,0,0,0,0,0,0,0,0,0,0,0,0,10,0
general,38,0,0,0,0,0,0,0,0,0,0,0,0,0
nearly,0,0,5,0,0,0,0,0,0,0,0,0,0,0
dominate,0,0,0,0,0,0,0,0,0,0,0,0,14,0
utilitarianism,0,0,0,0,0,0,0,7,0,0,0,0,0,0
american,17,0,0,0,0,0,0,0,0,0,0,0,0,0
employ,0,0,0,0,0,0,0,0,0,0,0,0,10,0
notion,0,0,0,0,0,0,0,35,0,0,0,0,0,0
fundamental,12,0,0,0,0,0,0,0,0,0,0,0,0,0
minimal,3,0,0,0,0,0,0,0,0,0,0,0,0,0
level,0,0,0,0,0,0,0,3,0,0,0,0,0,0
economic,16,0,0,0,0,0,0,3,0,0,0,0,0,0
guarantee,0,0,0,0,0,0,0,1,0,0,0,0,8,0
veil,0,0,0,0,0,0,0,2,0,0,0,0,1,0
ignorance,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hypothesis,0,0,0,0,0,0,0,6,0,0,0,0,0,0
