word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,SCONJ,VERB
grate,0,0,1,0,0,0,0,0,0
cheerfully,0,0,2,0,0,0,0,0,0
aye,0,0,1,0,8,0,0,0,0
spring,0,0,0,0,0,7,0,0,0
cheery,1,0,0,0,0,0,0,0,0
equal,0,0,0,0,0,1,0,0,0
decide,0,0,0,0,0,0,0,0,8
likely,0,0,1,0,0,0,0,0,0
girl,0,0,0,0,0,4,0,0,0
reply,0,0,0,0,0,0,0,0,2
missus,0,0,0,0,0,1,0,0,0
certain,5,0,0,0,0,0,0,0,0
job,0,0,0,0,0,1,0,0,0
master,0,0,0,0,0,3,0,0,0
friend,0,0,0,0,0,9,0,0,0
wait,0,0,0,0,0,0,0,0,4
need,0,0,0,0,0,0,0,0,8
surprise,0,0,0,0,0,3,0,0,0
wave,0,0,0,0,0,1,0,0,2
frustration,0,0,0,0,0,1,0,0,0
oddness,0,0,0,0,0,1,0,0,0
burst,0,0,0,0,0,0,0,0,7
tear,0,0,0,0,0,1,0,0,0
beg,0,0,0,0,0,0,0,0,1
pardon,0,0,0,0,0,1,0,0,0
friendly,5,0,0,0,0,0,0,0,0
tone,0,0,0,0,0,3,0,0,0
calm,1,0,0,0,0,0,0,0,1
sob,0,0,0,0,0,2,0,0,1
sniffle,0,0,0,0,0,1,0,0,0
breakfast,0,0,0,0,0,3,0,0,0
surprised,2,0,0,0,0,0,0,0,0
soft,2,0,0,0,0,0,0,0,0
white,5,0,0,0,0,2,0,0,0
wool,0,0,0,0,0,1,0,0,0
sad,4,0,0,0,0,0,0,0,0
agree,0,0,0,0,0,0,0,0,8
work,0,0,0,0,0,5,0,0,8
doll,0,0,0,0,0,2,0,0,0
insist,0,0,0,0,0,0,0,0,8
changing,0,0,0,0,0,1,0,0,0
chatter,0,0,0,0,0,0,0,0,2
family,0,0,0,0,0,6,0,0,0
brother,0,0,0,0,0,3,0,0,0
sister,0,0,0,0,0,1,0,0,0
especially,0,0,2,0,0,0,0,0,0
interesting,2,0,0,0,0,0,0,0,0
pony,0,0,0,0,0,5,0,0,0
call,0,0,0,0,0,0,0,0,13
pet,0,0,0,0,0,1,0,0,0
thought,0,0,0,0,0,3,0,0,0
wonderful,3,0,0,0,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,5
pup,0,0,0,0,0,1,0,0,0
ride,0,0,0,0,0,0,0,0,3
barely,0,0,2,0,0,0,0,0,0
hungry,5,0,0,0,0,0,0,0,0
indignant,1,0,0,0,0,0,0,0,0
waste,0,0,0,0,0,1,0,0,1
toast,0,0,0,0,0,1,0,0,0
marmalade,0,0,0,0,0,1,0,0,0
finish,0,0,0,0,0,0,0,0,4
wrap,0,0,0,0,0,0,0,0,1
appetite,0,0,0,0,0,7,0,0,0
glance,0,0,0,0,0,1,0,0,1
