word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
grow,0,0,0,0,0,0,0,0,0,0,0,60,0
age,0,0,0,0,0,0,0,39,0,0,0,4,0
absolutism,0,0,0,0,0,0,0,8,0,0,0,0,0
particularism,0,0,0,0,0,0,0,18,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,0,26,0
copy,0,0,0,0,0,0,0,1,0,0,0,2,0
royal,51,0,0,0,0,0,0,0,0,0,0,0,0
court,0,0,0,0,0,0,0,56,0,0,0,1,0
spare,1,0,0,0,0,0,0,0,0,0,0,7,0
expense,0,0,0,0,0,0,0,24,0,0,0,0,0
erect,0,0,0,0,0,0,0,0,0,0,0,5,0
magnificent,3,0,0,0,0,0,0,0,0,0,0,0,0
building,0,0,0,0,0,0,0,41,0,0,0,0,0
university,0,0,0,0,0,0,0,34,0,0,0,0,0
art,0,0,0,0,0,0,0,65,0,0,0,0,0
prime,15,0,0,0,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,0,0,42,0,0,0,0,0
nearby,2,0,0,0,0,0,0,0,0,0,0,0,0
late,58,0,9,0,0,0,0,0,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,0,0,0,9,0
great,140,0,0,0,0,0,0,0,0,0,0,0,0
writer,0,0,0,0,0,0,0,17,0,0,0,0,0
philosopher,0,0,0,0,0,0,0,3,0,0,0,0,0
etc,0,0,0,0,0,0,0,0,0,0,0,0,1
downside,0,0,0,0,0,0,0,1,0,0,0,0,0
prove,0,0,0,0,0,0,0,0,0,0,0,37,0
match,0,0,0,0,0,0,0,4,0,0,0,0,0
french,80,0,0,0,0,0,0,0,0,0,0,0,0
revolutionary,15,0,0,0,0,0,0,4,0,0,0,0,0
napoleonic,2,0,0,0,0,0,0,0,0,0,0,0,0
war,0,0,0,0,0,0,0,210,0,0,0,1,0
dissolve,0,0,0,0,0,0,0,0,0,0,0,10,0
defeat,0,0,0,0,0,0,0,41,0,0,0,23,0
shake,0,0,0,0,0,0,0,0,0,0,0,5,0
control,0,0,0,0,0,0,0,70,0,0,0,37,0
map,0,0,0,0,0,0,0,6,0,0,0,0,0
redrawn,0,0,0,0,0,0,0,0,0,0,0,1,0
intent,1,0,0,0,0,0,0,0,0,0,0,0,0
restoration,0,0,0,0,0,0,0,12,0,0,0,0,0
confine,0,0,0,0,0,0,0,1,0,0,0,6,0
idea,0,0,0,0,0,0,0,13,0,0,0,0,0
newly,0,0,18,0,0,0,0,0,0,0,0,0,0
establish,0,0,0,0,0,0,0,0,0,0,0,127,0
representative,6,0,0,0,0,0,0,20,0,0,0,0,0
assembly,0,0,0,0,0,0,0,38,0,0,0,0,0
change,0,0,0,0,0,0,0,34,0,0,0,20,0
incipient,1,0,0,0,0,0,0,0,0,0,0,0,0
industrialization,0,0,0,0,0,0,0,6,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,28,0
rise,0,0,0,0,0,0,0,26,0,0,0,52,0
class,0,0,0,0,0,0,0,47,0,0,0,0,0
interested,6,0,0,0,0,0,0,0,0,0,0,0,0
poor,13,0,0,0,0,0,0,0,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,0,41,0
number,0,0,0,0,0,0,0,85,0,0,0,3,0
city,0,0,0,0,0,0,0,189,0,0,0,0,0
dissatisfied,3,0,0,0,0,0,0,0,0,0,0,0,0
situation,0,0,0,0,0,0,0,25,0,0,0,0,0
exacerbate,0,0,0,0,0,0,0,0,0,0,0,4,0
overpopulation,0,0,0,0,0,0,0,2,0,0,0,0,0
crop,0,0,0,0,0,0,0,9,0,0,0,0,0
failure,0,0,0,0,0,0,0,17,0,0,0,0,0
revolution,0,0,0,0,0,0,0,39,0,0,0,0,0
inspire,0,0,0,0,0,0,0,0,0,0,0,14,0
overthrowing,0,0,0,0,0,0,0,1,0,0,0,0,0
election,0,0,0,0,0,0,0,133,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,0,21,0
exclude,0,0,0,0,0,0,0,0,0,0,0,13,0
prussian,56,0,0,0,0,0,0,0,0,0,0,0,0
turn,0,0,0,0,0,0,0,16,0,0,0,33,0
offer,0,0,0,0,0,0,0,1,0,0,0,34,0
object,0,0,0,0,0,0,0,8,0,0,0,3,0
grace,0,0,0,0,0,0,0,8,0,0,0,0,0
series,0,0,0,0,0,0,0,32,0,0,0,0,0
population,0,0,0,0,0,0,0,110,0,0,0,0,0
industrial,61,0,0,0,0,0,0,0,0,0,0,0,0
rapidly,0,0,15,0,0,0,0,0,0,0,0,0,0
attempt,0,0,0,0,0,0,0,40,0,0,0,31,0
global,9,0,0,0,0,0,0,0,0,0,0,0,0
limit,0,0,0,0,0,0,0,2,0,0,0,17,0
success,0,0,0,0,0,0,0,47,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,56,0
little,38,0,2,0,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,4,0,0,0,0,0
colony,0,0,0,0,0,0,0,5,0,0,0,0,0
overseas,2,0,5,0,0,0,0,0,0,0,0,0,0
architect,0,0,0,0,0,0,0,13,0,0,0,0,0
formation,0,0,0,0,0,0,0,20,0,0,0,0,0
prevent,0,0,0,0,0,0,0,0,0,0,0,27,0
shrewd,1,0,0,0,0,0,0,0,0,0,0,0,0
diplomacy,0,0,0,0,0,0,0,5,0,0,0,0,0
policy,0,0,0,0,0,0,0,103,0,0,0,0,0
abandon,0,0,0,0,0,0,0,0,0,0,0,23,0
favour,0,0,0,0,0,0,0,23,0,0,0,30,0
aggressive,9,0,0,0,0,0,0,0,0,0,0,0,0
stance,0,0,0,0,0,0,0,2,0,0,0,0,0
throne,0,0,0,0,0,0,0,33,0,0,0,0,0
ally,0,0,0,0,0,0,0,28,0,0,0,12,0
assassinate,0,0,0,0,0,0,0,0,0,0,0,3,0
nationalist,8,0,0,0,0,0,0,5,0,0,0,0,0
defuse,0,0,0,0,0,0,0,0,0,0,0,2,0
crisis,0,0,0,0,0,0,0,21,0,0,0,0,0
embrace,0,0,0,0,0,0,0,0,0,0,0,5,0
chance,0,0,0,0,0,0,0,6,0,0,0,0,0
suit,0,0,0,0,0,0,0,6,0,0,0,3,0
hope,0,0,0,0,0,0,0,22,0,0,0,25,0
quick,7,0,0,0,0,0,0,0,0,0,0,0,0
decisive,10,0,0,0,0,0,0,0,0,0,0,0,0
victory,0,0,0,0,0,0,0,51,0,0,0,0,0
way,0,0,0,0,0,0,0,46,0,0,0,0,0
unprecedented,6,0,0,0,0,0,0,0,0,0,0,0,0
proportion,0,0,0,0,0,0,0,10,0,0,0,0,0
