word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB,X
tight,1,0,1,0,0,0,0,0,0,0
grip,0,0,0,0,0,1,0,0,0,0
arm,0,0,0,0,0,13,0,0,0,0
fear,0,0,0,0,0,2,0,0,4,0
hurt,0,0,0,0,0,0,0,0,1,0
loudly,0,0,2,0,0,0,0,0,0,0
assistance,0,0,0,0,0,1,0,0,0,0
wild,1,0,0,0,0,0,0,0,0,0
looking,1,0,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,21,0,0,0,0
red,8,0,0,0,0,0,0,0,0,0
wonderful,2,0,0,0,0,0,0,0,0,0
bonnet,0,0,0,0,0,1,0,0,0,0
lay,0,0,0,0,0,0,0,0,8,0
brawny,1,0,0,0,0,0,0,0,0,0
chest,0,0,0,0,0,5,0,0,0,0
fly,0,0,0,0,0,0,0,0,3,0
near,2,4,1,0,0,0,0,0,0,0
wall,0,0,0,0,0,10,0,0,0,0
yell,0,0,0,0,0,0,0,0,3,0
inn,0,0,0,0,0,1,0,0,0,0
fetch,0,0,0,0,0,0,0,0,1,0
thing,0,0,0,0,0,9,0,0,0,0
instead,0,0,2,0,0,0,0,0,0,0
stare,0,0,0,0,0,0,0,0,2,0
smell,0,0,0,0,0,0,0,0,1,0
salt,0,0,0,0,0,1,0,0,0,0
water,0,0,0,0,0,3,0,0,0,0
vinegar,0,0,0,0,0,1,0,0,0,0
quick,1,0,3,0,0,0,0,0,0,0
softly,0,0,2,0,0,0,0,0,0,0
settle,0,0,0,0,0,0,0,0,2,0
patient,1,0,0,0,0,1,0,0,0,0
sofa,0,0,0,0,0,2,0,0,0,0
tend,0,0,0,0,0,0,0,0,1,0
skill,0,0,0,0,0,3,0,0,0,0
gentleness,0,0,0,0,0,1,0,0,0,0
frighten,0,0,0,0,0,0,0,0,1,0
death,0,0,0,0,0,7,0,0,0,0
bewildered,2,0,0,0,0,0,0,0,0,0
question,0,0,0,0,0,10,0,0,2,0
distance,0,0,0,0,0,1,0,0,0,0
strong,6,0,0,0,0,0,0,0,0,0
nurse,0,0,0,0,0,0,0,0,1,0
mistress,0,0,0,0,0,1,0,0,0,0
thank,0,0,0,0,0,1,0,0,4,0
accompany,0,0,0,0,0,0,0,0,1,0
feebly,0,0,1,0,0,0,0,0,0,0
reply,0,0,0,0,0,1,0,0,3,0
suburb,0,0,0,0,0,1,0,0,0,0
cask,0,0,0,0,0,1,0,0,0,0
wine,0,0,0,0,0,23,0,0,0,0
tumble,0,0,0,0,0,0,0,0,1,0
cart,0,0,0,0,0,4,0,0,0,0
lie,0,0,0,0,0,0,0,0,8,0
narrow,2,0,0,0,0,0,0,0,0,0
stone,0,0,0,0,0,9,0,0,0,0
street,0,0,0,0,0,21,0,0,0,0
