word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
preach,0,0,0,0,0,0,0,0,0,1,0
rump,0,0,0,0,0,1,0,0,0,0,0
shake,0,0,0,0,0,0,0,0,0,7,0
bleat,0,0,0,0,0,0,0,0,0,1,0
ignore,0,0,0,0,0,0,0,0,0,1,0
pass,0,0,0,0,0,0,0,0,0,9,0
collect,0,0,0,0,0,0,0,0,0,1,0
coin,0,0,0,0,0,2,0,0,0,0,0
size,0,0,0,0,0,1,0,0,0,0,0
beautiful,8,0,0,0,0,0,0,0,0,0,0
stare,0,0,0,0,0,0,0,0,0,8,0
sweat,0,0,0,0,0,3,0,0,0,0,0
pocket,0,0,0,0,0,4,0,0,0,0,0
ragged,2,0,0,0,0,0,0,0,0,0,0
gypsy,6,0,0,0,0,55,0,0,0,0,0
thief,0,0,0,0,0,7,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,2,0
quiet,3,0,0,0,0,0,0,0,0,0,0
attention,0,0,0,0,0,3,0,0,0,0,0
beggar,0,0,0,0,0,11,0,0,0,0,0
boy,0,0,0,0,0,3,0,0,0,0,0
hate,0,0,0,0,0,0,0,0,0,9,0
kidnap,0,0,0,0,0,0,0,0,0,4,0
baby,0,0,0,0,0,5,0,0,0,0,0
year,0,0,0,0,0,7,0,0,0,0,0
ago,0,0,3,0,0,0,0,0,0,0,0
cling,0,0,0,0,0,0,0,0,0,1,0
tiny,4,0,0,0,0,0,0,0,0,0,0
shoe,0,0,0,0,0,6,0,0,0,0,0
claim,0,0,0,0,0,0,0,0,0,1,0
hungry,1,0,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,11,0
food,0,0,0,0,0,6,0,0,0,0,0
enter,0,0,0,0,0,0,0,0,0,3,0
procession,0,0,0,0,0,2,0,0,0,0,0
torch,0,0,0,0,0,2,0,0,0,0,0
light,0,0,0,0,0,4,0,0,0,2,0
song,0,0,0,0,0,1,0,0,0,0,0
pride,0,0,0,0,0,2,0,0,0,0,0
idea,0,0,0,0,0,5,0,0,0,0,0
joke,0,0,0,0,0,2,0,0,0,1,0
push,0,0,0,0,0,0,0,0,0,10,0
forward,0,0,9,0,0,0,0,0,0,0,0
knock,0,0,0,0,0,0,0,0,0,2,0
wooden,3,0,0,0,0,0,0,0,0,0,0
staff,0,0,0,0,0,1,0,0,0,0,0
eyed,3,0,0,0,0,0,0,0,0,0,0
monster,0,0,0,0,0,3,0,0,0,0,0
tear,0,0,0,0,0,9,0,0,0,2,0
apart,0,0,2,0,0,0,0,0,0,0,0
leap,0,0,0,0,0,0,0,0,0,2,0
bind,0,0,0,0,0,0,0,0,0,5,0
frightened,3,0,0,0,0,0,0,0,0,0,0
drop,0,0,0,0,0,1,0,0,0,3,0
knee,0,0,0,0,0,8,0,0,0,0,0
strange,3,0,0,0,0,0,0,0,0,0,0
gesture,0,0,0,0,0,6,0,0,0,0,0
motion,0,0,0,0,0,1,0,0,0,2,0
follow,0,0,0,0,0,0,0,0,0,12,0
