word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB,X
ground,0,0,0,0,0,0,3,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,0,9,0
die,0,0,0,0,0,0,0,0,0,0,0,10,0
scared,3,0,0,0,0,0,0,0,0,0,0,0,0
consciousness,0,0,0,0,0,0,2,0,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,0,0,9,0
paramedic,0,0,0,0,0,0,1,0,0,0,0,0,0
fine,3,0,0,0,0,0,0,0,0,0,0,0,0
wheel,0,0,0,0,0,0,1,0,0,0,0,1,0
operation,0,0,0,0,0,0,1,0,0,0,0,0,0
room,0,0,0,0,0,0,16,0,0,0,0,0,0
expression,0,0,0,0,0,0,3,0,0,0,0,0,0
face,0,0,0,0,0,0,11,0,0,0,0,3,0
doctor,0,0,0,0,0,0,5,0,0,0,0,0,0
nurse,0,0,0,0,0,0,3,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,0,32,0
eye,0,0,0,0,0,0,28,0,0,0,0,0,0
read,0,0,0,0,0,0,0,0,0,0,0,7,0
dead,6,0,0,0,0,0,2,0,0,0,0,0,0
man,0,0,0,0,0,0,61,0,0,0,0,0,0
action,0,0,0,0,0,0,5,0,0,0,0,0,0
burly,1,0,0,0,0,0,0,0,0,0,0,0,0
shout,0,0,0,0,0,0,0,0,0,0,0,2,0
question,0,0,0,0,0,0,8,0,0,0,0,2,0
allergic,1,0,0,0,0,0,0,0,0,0,0,0,0
wait,0,0,0,0,0,0,0,0,0,0,0,4,0
deep,2,0,0,0,0,0,0,0,0,0,0,0,0
breath,0,0,0,0,0,0,2,0,0,0,0,0,0
yell,0,0,0,0,0,0,0,0,0,0,0,2,0
gravity,0,0,0,0,0,0,1,0,0,0,0,0,0
laughter,0,0,0,0,0,0,2,0,0,0,0,0,0
operate,0,0,0,0,0,0,0,0,0,0,0,1,0
alive,4,0,0,0,0,0,0,0,0,0,0,0,0
thank,0,0,0,0,0,0,1,0,0,0,0,4,0
skill,0,0,0,0,0,0,1,0,0,0,0,0,0
amazing,1,0,0,0,0,0,0,0,0,0,0,0,0
fully,0,0,1,0,0,0,0,0,0,0,0,0,0
grade,0,0,0,0,0,0,1,0,0,0,0,0,0
girl,0,0,0,0,0,0,12,0,0,0,0,0,0
name,0,0,0,0,0,0,1,0,0,0,0,2,0
class,0,0,0,0,0,0,1,0,0,0,0,0,0
terrible,3,0,0,0,0,0,0,0,0,0,0,0,0
bus,0,0,0,0,0,0,2,0,0,0,0,0,0
order,0,0,0,0,0,0,4,0,0,0,0,1,0
ice,0,0,0,0,0,0,4,0,0,0,0,0,0
rear,1,0,0,0,0,0,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,0,0,0,3,0
paralyze,0,0,0,0,0,0,0,0,0,0,0,1,0
waist,0,0,0,0,0,0,1,0,0,0,0,0,0
old,22,0,0,0,0,0,0,0,0,0,0,0,0
normally,0,0,1,0,0,0,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,0,0,0,6,0
son,0,0,0,0,0,0,16,0,0,0,0,0,0
hit,0,0,0,0,0,0,0,0,0,0,0,1,0
car,0,0,0,0,0,0,3,0,0,0,0,0,0
