word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
one,0,0,0,0,2,0,0,0,0
see,0,0,0,0,0,0,0,9,0
example,0,0,0,0,12,0,0,0,0
widespread,6,0,0,0,0,0,0,0,0
conversion,0,0,0,0,6,0,0,0,0
arable,1,0,0,0,0,0,0,0,0
pasture,0,0,0,0,4,0,0,0,0
shepherd,0,0,0,0,1,0,0,0,0
supply,0,0,0,0,4,0,0,7,0
sheep,0,0,0,0,3,0,0,0,0
extensive,1,0,0,0,0,0,0,0,0
generate,0,0,0,0,0,0,0,1,0
return,0,0,0,0,4,0,0,1,0
plowland,0,0,0,0,2,0,0,0,0
intensively,0,0,1,0,0,0,0,0,0
farm,0,0,0,0,2,0,0,1,0
pay,0,0,0,0,0,0,0,7,0
labourer,0,0,0,0,3,0,0,0,0
support,0,0,0,0,17,0,0,9,0
technology,0,0,0,0,2,0,0,0,0
require,0,0,0,0,0,0,0,7,0
develop,0,0,0,0,0,0,0,6,0
tool,0,0,0,0,2,0,0,0,0
enable,0,0,0,0,0,0,0,4,0
work,0,0,0,0,4,0,0,9,0
productively,0,0,1,0,0,0,0,0,0
accordingly,0,0,1,0,0,0,0,0,0
significant,7,0,0,0,0,0,0,0,0
technological,5,0,0,0,0,0,0,0,0
link,0,0,0,0,2,0,0,5,0
investment,0,0,0,0,3,0,0,0,0
save,0,0,0,0,0,0,0,4,0
device,0,0,0,0,1,0,0,0,0
print,0,0,0,0,0,0,0,2,0
movable,1,0,0,0,0,0,0,0,0
metal,0,0,0,0,4,0,0,0,0
type,0,0,0,0,7,0,0,0,0
substitute,0,0,0,0,0,0,0,1,0
machine,0,0,0,0,1,0,0,0,0
press,0,0,0,0,1,0,0,3,0
copyist,0,0,0,0,1,0,0,0,0
gunpowder,0,0,0,0,1,0,0,0,0
firearm,0,0,0,0,2,0,0,0,0
small,11,0,0,0,0,0,0,0,0
fighting,0,0,0,0,3,0,0,0,0
shipbuilding,0,0,0,0,3,0,0,0,0
navigational,1,0,0,0,0,0,0,0,0
aid,0,0,0,0,12,0,0,4,0
allow,0,0,0,0,0,0,0,4,0
big,1,0,0,0,0,0,0,0,0
ship,0,0,0,0,4,0,0,0,0
sail,0,0,0,0,0,0,0,1,0
crew,0,0,0,0,1,0,0,0,0
distance,0,0,0,0,2,0,0,0,0
achieve,0,0,0,0,0,0,0,15,0
