word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB
father,0,0,0,0,0,2,0,0,0
ticket,0,0,0,0,0,1,0,0,0
thousand,0,0,0,0,0,0,1,0,0
dollar,0,0,0,0,0,1,0,0,0
building,0,0,0,0,0,1,0,0,0
nicely,0,0,1,0,0,0,0,0,0
excuse,0,0,0,0,0,0,0,0,1
lonely,1,0,0,0,0,0,0,0,0
baby,0,0,0,0,0,1,0,0,0
clever,1,0,0,0,0,0,0,0,0
unhappily,0,0,2,0,0,0,0,0,0
tremble,0,0,0,0,0,0,0,0,2
flower,0,0,0,0,0,4,0,0,0
kindly,0,0,1,0,0,0,0,0,0
far,0,0,2,0,0,0,0,0,0
grass,0,0,0,0,0,2,0,0,0
deep,1,0,0,0,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,2
sleeper,0,0,0,0,0,1,0,0,0
ground,0,0,0,0,0,3,0,0,0
silent,1,0,0,0,0,0,0,0,0
yesterday,0,0,0,0,0,1,0,0,0
forget,0,0,0,0,0,0,0,0,1
peace,0,0,0,0,0,4,0,0,0
line,0,0,0,0,0,1,0,0,0
pray,0,0,0,0,0,0,0,0,6
child,0,0,0,0,0,4,0,0,0
darkness,0,0,0,0,0,2,0,0,0
win,0,0,0,0,0,0,0,0,1
fight,0,0,0,0,0,1,0,0,0
goodness,0,0,0,0,0,1,0,0,0
kiss,0,0,0,0,0,0,0,0,5
snow,0,0,0,0,0,1,0,0,0
lip,0,0,0,0,0,1,0,0,0
late,1,0,0,0,0,0,0,0,0
worry,0,0,0,0,0,0,0,0,1
sister,0,0,0,0,0,1,0,0,0
worried,1,0,0,0,0,0,0,0,0
detective,0,0,0,0,0,1,0,0,0
mother,0,0,0,0,0,1,0,0,0
trembling,1,0,0,0,0,0,0,0,0
jewel,0,0,0,0,0,5,0,0,0
surprised,1,0,0,0,0,0,0,0,0
narrow,1,0,0,0,0,0,0,0,0
wooden,1,0,0,0,0,0,0,0,0
touch,0,0,0,0,0,0,0,0,1
plate,0,0,0,0,0,1,0,0,0
peaceful,1,0,0,0,0,0,0,0,0
song,0,0,0,0,0,1,0,0,0
drive,0,0,0,0,0,1,0,0,0
lord,0,0,0,0,0,1,0,0,0
belong,0,0,0,0,0,0,0,0,2
reply,0,0,0,0,0,0,0,0,1
daughter,0,0,0,0,0,2,0,0,0
shall,0,0,0,1,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,1
spring,0,0,0,0,0,1,0,0,0
afternoon,0,0,0,0,0,1,0,0,0
lovingly,0,0,1,0,0,0,0,0,0
prettily,0,0,1,0,0,0,0,0,0
