word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
extraction,0,0,0,0,0,0,0,2,0,0,0,0
live,1,0,0,0,0,0,0,0,0,0,9,0
american,4,0,0,0,0,0,0,1,0,0,0,0
trace,0,0,0,0,0,0,0,0,0,0,1,0
ancestry,0,0,0,0,0,0,0,1,0,0,0,0
world,0,0,0,0,0,0,0,26,0,0,0,0
original,4,0,0,0,0,0,0,0,0,0,0,0
homeland,0,0,0,0,0,0,0,2,0,0,0,0
yearn,0,0,0,0,0,0,0,0,0,0,2,0
replete,1,0,0,0,0,0,0,0,0,0,0,0
legend,0,0,0,0,0,0,0,3,0,0,0,0
truth,0,0,0,0,0,0,0,2,0,0,0,0
man,0,0,0,0,0,0,0,13,0,0,0,0
credit,0,0,0,0,0,0,0,1,0,0,2,0
banish,0,0,0,0,0,0,0,0,0,0,2,0
spoiler,0,0,0,0,0,0,0,1,0,0,0,0
alert,0,0,0,0,0,0,0,1,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,26,0
apparently,0,0,1,0,0,0,0,0,0,0,0,0
detail,0,0,0,0,0,0,0,3,0,0,0,0
storied,1,0,0,0,0,0,0,0,0,0,0,0
await,0,0,0,0,0,0,0,0,0,0,1,0
associate,0,0,0,0,0,0,0,0,0,0,13,0
day,0,0,0,0,0,0,0,14,0,0,0,0
name,0,0,0,0,0,0,0,2,0,0,4,0
blue,0,0,0,0,0,0,0,3,0,0,0,0
actually,0,0,2,0,0,0,0,0,0,0,0,0
traditionally,0,0,3,0,0,0,0,0,0,0,0,0
originally,0,0,3,0,0,0,0,0,0,0,0,0
saint,0,0,0,0,0,0,0,10,0,0,0,0
notwithstanding,0,0,1,0,0,0,0,0,0,0,0,0
plus,0,0,0,0,1,0,0,0,0,0,0,0
conjure,0,0,0,0,0,0,0,0,0,0,1,0
rolling,1,0,0,0,0,0,0,0,0,0,0,0
